underlying_price,underlying_index,timestamp,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,stats.volume,stats.price_change,stats.low,stats.high,greeks.vega,greeks.theta,greeks.rho,greeks.gamma,greeks.delta,settlement_period,settlement_price
47816.88,index_price,1613068637347,12.2,0.0001,0.2415,0.04165072,75.17,0.0325,0.0,BTC-26FEB21-46000-P,47816.88,5292055940,"[[0.0345, 0.4]]",65.66,0.0345,0.4,0.0,0.0,[],0.0,0.4,0.0,0.0325,0.0325,36.04111,-93.05678,-7.84162,5e-05,-0.36953,month,0.08
45278.72,BTC-12FEB21,1613068637346,34.1,0.0001,0.2005,0.00063313,250.33,0.0005,0.0,BTC-12FEB21-37000-P,47816.88,5292294831,[],0.0,0.0,0.0,0.0015,3.0,"[[0.0015, 3.0]]",288.92,28.0,0.0,0.0005,0.0005,0.75807,-28.66727,-0.01242,1e-05,-0.01732,week,0.0
47816.88,index_price,1613068637354,0.0,0.0001,0.3085,0.10892875,52.08,,0.0,BTC-26FEB21-52500-P,47816.88,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,26.62899,-47.63273,-17.3591,6e-05,-0.80131,month,0.21
48220.31,BTC-19FEB21,1613068637350,7.6,0.0001,0.293,0.09308944,109.2,0.053,0.0,BTC-19FEB21-45500-C,47816.88,5292406538,[],0.0,0.0,0.0,0.1615,3.0,"[[0.1615, 3.0]]",236.69,2.0,-1.8519,0.053,0.054,25.03706,-180.88172,5.78897,5e-05,0.67296,week,0.04
45699.3,SYN.BTC-13FEB21,1613068638362,1.1,0.0001,0.306,0.10611318,124.83,0.156,0.0,BTC-13FEB21-41000-C,47816.8,5292406523,"[[0.022, 99.0]]",0.0,0.022,99.0,0.1425,3.0,"[[0.1425, 3.0], [0.155, 2.1]]",328.2,1.1,0.0,0.156,0.156,4.65018,-186.32887,1.57727,4e-05,0.91489,day,
47816.8,index_price,1613068638360,1.2,0.0001,0.2825,0.08263412,100.0,0.077,0.0,BTC-26FEB21-47500-C,47816.8,5291308239,"[[0.003, 99.0]]",0.0,0.003,99.0,0.0,0.0,[],0.0,,,,,37.76073,-129.69388,8.96968,4e-05,0.55296,month,0.05
45279.07,BTC-12FEB21,1613068638353,4.4,0.0001,0.3055,0.10556235,99.51,0.1365,0.0,BTC-12FEB21-40500-C,47816.8,5292406877,"[[0.022, 98.9]]",0.0,0.022,98.9,0.1205,3.0,"[[0.1205, 3.0]]",348.46,0.6,520.4545,0.022,0.1365,0.10931,-5.43865,0.61739,0.0,0.99806,week,0.1
45699.3,SYN.BTC-13FEB21,1613068638363,0.0,0.0001,0.3595,0.15982043,82.54,,0.0,BTC-13FEB21-53000-P,47816.8,5292406888,[],0.0,0.0,0.0,0.1775,3.0,"[[0.1775, 3.0]]",251.93,,,,,0.2934,-7.77386,-2.25554,0.0,-0.99675,day,
49711.95,BTC-26MAR21,1613068638354,359.6,0.0001,0.25,0.05047181,231.34,0.003,0.0,BTC-26MAR21-24000-P,47816.8,5292400077,[],0.0,0.0,0.0,0.0615,0.2,"[[0.0615, 0.2]]",250.13,1.8,-33.3333,0.003,0.005,28.45654,-77.34262,-8.37078,0.0,-0.09395,month,0.01
49935.57,BTC-25JUN21,1613068638353,104.0,0.0001,0.3685,0.16885716,100.0,0.2045,0.0,BTC-25JUN21-44000-P,47816.8,5292042910,"[[0.047, 0.1]]",41.94,0.047,0.1,0.0,0.0,[],0.0,,,,,105.72122,-39.57888,-86.48173,1e-05,-0.30445,month,0.01
